Name,Category,Calories,Fat,Carbs
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
A&W® Root Beer,Drinks,270,0,72
Weight Watchers® Chipotle Lime Chicken ,Chicken,490,12,51
Weight Watchers® Chipotle Lime Chicken ,Chicken,490,12,51
